_file,cnf,nym,gen,meta,meta/live,def,def/bib,def/bib/key,def/bib/loc,def/bibl,def/bibl/key,def/bibl/loc,def/cite,def/city,def/country,def/i,def/key,def/key/bib,def/key/loc,def/lang,def/loc,def/nym,def/region,def/xr,def/xr/bibl,def/xr/i,def/xr/xr,etym,etym/bib,etym/bib/key,etym/bib/loc,etym/bibl,etym/bibl/key,etym/bibl/loc,etym/cite,etym/i,etym/i/i,etym/i/lang,etym/key,etym/lang,etym/lang/i,etym/lang/lang,etym/lang/lang/i,etym/loc,etym/nym,etym/xr,note,note/i,note/lang,note/nym,usg,usg/country,usg/i,usg/lang,usg/nym,usg/region,usg/xr
aage_1_1.xml,,Aage,M,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aalon_1_1.xml,,Aalon,M,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,Old High German adal 'noble'.,,,,,,,,adal,,,,Old High German,,,,,,,,,,,,,,,,,
aaron_1_1.xml,,Aaron,M,TRUE,TRUE,"For more information see Withycombe, s.n. Aaron.",,,,,,,,,,,,,,,,,,Withycombe,,,,"Hebrew ????, of uncertain origin.",,,,,,,,????,,,,Hebrew,,,,,,,,,,,"The name of the Biblical brother of Moses, a 4th C British saint, and a 6th C saint. Wycliffite Bible (1395): Aaron. Geneva Bible (1560): Ar¨®n, Ar¨¢hon. Sagrados Escrituras (1569): Aar¨®n.",,Aaron; Ar¨®n; Ar¨¢hon; Aar¨®n,,,,
abadengo_1_1.xml,,Abadengo,M,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abard_1_1.xml,,Abard,M,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abba_1_1.xml,,Abba,F,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,Fem. of Abbo.,,,,,,,,,,,,,,,,,Abbo,,,,,,,,,,,,
abbatissa_1_1.xml,,Abbatissa,F,TRUE,TRUE,"While this was more usually found as a title, there are a handful of English occurrences of it used as a given name.",,,,,,,,,,,,,,,,,,,,,,Latin abbatissa 'abbess'.,,,,,,,,abbatissa,,,,Latin,,,,,,,,,,,,,,,,,
abbo_1_1.xml,,Abbo,M,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,"Proto-Germanic *ab? 'husband, man' or a pet form of any of various names beginning with Old High German alb 'elf', such as Alberich.",,,,,,,,ab?; alb,,,,Proto-Germanic; Old High German,,,,,Alberich,,,,,,The name of a 10th C French saint.,,,,,,
abchilde_1_1.xml,,Abchilde,F,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abden_1_1.xml,,Abden,M,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abdies_1_1.xml,,Abdies,M,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abdona_1_1.xml,,Abdona,F,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
