_file,nym,gen,etym/lang,etym/nym
aage_1_1.xml,Aage,M,,
aalon_1_1.xml,Aalon,M,Old High German,
aaron_1_1.xml,Aaron,M,Hebrew,
abadengo_1_1.xml,Abadengo,M,,
abard_1_1.xml,Abard,M,,
abba_1_1.xml,Abba,F,,Abbo
abbatissa_1_1.xml,Abbatissa,F,Latin,
abbo_1_1.xml,Abbo,M,Proto-Germanic; Old High German,Alberich
abchilde_1_1.xml,Abchilde,F,,
abden_1_1.xml,Abden,M,,
abdies_1_1.xml,Abdies,M,,
abdona_1_1.xml,Abdona,F,,
abednego_1_1.xml,Abednego,M,Akkadian,
abel_1_1.xml,Abel,M,Hebrew,
abele_1_1.xml,Abele,M,,
abigail_1_1.xml,Abigail,F,Hebrew,
abilenage_1_1.xml,Abilenage,M,,
abimia_1_1.xml,Abimia,F,Old High German; Proto-Germanic,
abiosus_1_1.xml,Abiosus,M,,
ablo_1_1.xml,Ablo,M,,
abone_1_1.xml,Abone,M,,
abraham_1_1.xml,Abraham,M,Hebrew,
abraino_1_1.xml,Abraino,M,,
abran_1_1.xml,Abran,M,,
abrand_1_1.xml,Abrand,M,,
abrid_1_1.xml,Abrid,M,,
absalom_1_1.xml,Absalom,M,Hebrew,
abundance_1_1.xml,Abundance,F,Latin,
acaria_1_1.xml,Acaria,F,,
acco_1_1.xml,Acco,M,Proto-Germanic,
accolon_1_1.xml,Accolon,M,,
accorsa_1_1.xml,Accorsa,F,Italian; Latin,
accurimond_1_1.xml,Accurimond,M,,
accurto_1_1.xml,Accurto,M,,
aceline_1_1.xml,Aceline,F,,Ado
acfrid_1_1.xml,Acfrid,M,Proto-Germanic; Old High German; Old Saxon,
acfrida_1_1.xml,Acfrida,F,Proto-Germanic; Old High German; Old Saxon,Acfrid
achard_1_1.xml,Achard,M,Proto-Germanic; Old Saxon; Old High German,
achebon_1_1.xml,Achebon,M,,
achere_1_1.xml,Achere,M,Proto-Germanic; Old High German,
acherea_1_1.xml,Acherea,F,,Achere
achilde_1_1.xml,Achilde,F,Proto-Germanic; Old High German,
achilles_1_1.xml,Achilles,M,Ancient Greek,
aciulf_1_1.xml,Aciulf,M,Proto-Germanic; Old High German; Gothic,
acius_1_1.xml,Acius,M,,
aclac_1_1.xml,Aclac,M,Proto-Germanic; Old French,
aclebalda_1_1.xml,Aclebalda,F,,Aclebald
aclebert_1_1.xml,Aclebert,M,Proto-Germanic; Old French; Old German,
acleberta_1_1.xml,Acleberta,F,Proto-Germanic; Old French; Old High German; Old Saxon; Proto-Germanic,Aclebert
acledulf_1_1.xml,Acledulf,M,Proto-Germanic; Old French; Old High German; Gothic,Agledeus; Agledrudis
aclefrid_1_1.xml,Aclefrid,M,Proto-Germanic; Old French; Old High German; Old Saxon,
aclehar_1_1.xml,Aclehar,M,Proto-Germanic; Old French; Old High German,
aclehard_1_1.xml,Aclehard,M,Proto-Germanic; Old French; Old Saxon; Old High German,
aclehilde_1_1.xml,Aclehilde,F,Proto-Germanic; Old French; Old High German,
acleman_1_1.xml,Acleman,M,Proto-Germanic; Old French; Old High German,
aclemode_1_1.xml,Aclemode,F,Proto-Germanic; Old French; Old High German,
aclemund_1_1.xml,Aclemund,M,Proto-Germanic; Old French; Old Saxon; Old High German,
acletrude_1_1.xml,Acletrude,F,Proto-Germanic; Old French; Proto-Germanic; Proto-Germanic,
aclewalda_1_1.xml,Aclewalda,F,Proto-Germanic; Old French; Old Saxon; Old High German,
aclinde_1_1.xml,Aclinde,F,Proto-Germanic; Old French; Proto-Germanic,
acluf_1_1.xml,Acluf,M,,
aclulf_1_1.xml,Aclulf,M,Proto-Germanic; Old French; Old High German; Gothic,
acmir_1_1.xml,Acmir,M,Old High German; Old Frankish,
acomandata_1_1.xml,Acomandata,F,,
actard_1_1.xml,Actard,M,Old High German; Old Saxon; Old High German,
acto_1_1.xml,Acto,M,,
actwin_1_1.xml,Actwin,M,Old High German; Old High German,
acurro_1_1.xml,Acurro,M,,
ada_1_1.xml,Ada,F,Old High German,
adalald_1_1.xml,Adalald,M,Old High German; Old High German; Old Saxon; Old Frisian; Old Saxon; Old High German,
adalbald_1_1.xml,Adalbald,M,Old High German; Old High German,
adalbod_1_1.xml,Adalbod,M,Old High German; Old High German,
adalbruc_1_1.xml,Adalbruc,U,,
adalchard_1_1.xml,Adalchard,M,,
adald_1_1.xml,Adald,M,Old Frankish; Old High German; Old Saxon; Old High German,
adaldag_1_1.xml,Adaldag,M,"Old High German; Old Saxon, Old Dutch; Old High German",
adalef_1_1.xml,Adalef,M,Old Frankish; Old High German; Gothic; Old High German; Old Norse,
adalend_1_1.xml,Adalend,M,Old Frankish; Old High German; Proto-Germanic,
adaleus_1_1.xml,Adaleus,M,Old High German; Old Saxon; Old High German,
